Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C15, C19, C2, C20, C25, C26, C29, C33, C35, C40, C54, C6, C7, C8",0603,19,0.1u,
C11,0603,1,2.2u,
"C16, C28, C42",0603,3,47n/0.1u,
"C17, C27, C41",0603,3,1u,
"C18, C32, C38",0603,3,1000p,
"C21, C24, C39",0603,3,10u,
"C22, C23, C30, C31, C43",0603,5,0.01u,
"C3, C34, C36, C4, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C55, C56, C57, C58, C59, C60",1210,20,22u,
C37,0603,1,47p,
C44,0603,1,0.01,
C9,0603,1,0.47u,
D3,D_SOD-323_HandSoldering,1,CUHS20S30,
IC1,QFP50P1600X1600X170-100N,1,R5F572TFADFP#30,
IC2,QFN40P300X300X95-25N-D,1,MPU-6500,
"IC3, IC4, IC5",QFN50P500X500X80-33N-D,3,DRV8320HRTVR,
J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,BAT,
J10,Molex_PicoBlade_53047-1010_1x10_P1.25mm_Vertical,1,ENC2,
J11,Molex_PicoBlade_53047-1010_1x10_P1.25mm_Vertical,1,SENS2,
J13,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,SDC,
J14,Molex_PicoBlade_53047-1010_1x10_P1.25mm_Vertical,1,ENC3,
J2,Molex_PicoBlade_53047-1010_1x10_P1.25mm_Vertical,1,DBG,
J3,Molex_PicoBlade_53047-1010_1x10_P1.25mm_Vertical,1,SENS1,
J4,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,MOT3,
J5,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,MOT1,
J6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,LIGHIT,
J7,Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical,1,LCD,
J8,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,MOT2,
J9,Molex_PicoBlade_53047-1010_1x10_P1.25mm_Vertical,1,ENC1,
"JP1, JP10, JP2, JP4, JP6, JP8, JP9",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,7,Jumper,
"JP11, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP7",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,9,Jumper,
JP5,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,Jumper,
L1,0603,1,L,
"LED1, LED2",0603,2,LED,
"LR1, LR2",1206,2,R,
Q1,TJ8S06M3LT6L1NQ,1,TJ60S04M3L,
"Q10, Q11, Q12, Q2, Q3, Q4, Q7, Q8, Q9",SOIC-8_3.9x4.9mm_P1.27mm,9,FDS6898A,
Q6,SOT95P260X110-3N,1,IRLML6344TRPBF,
"R10, R11, R12, R13, R15, R17, R46, R47, R48, R49, R5, R50, R59, R60, R61, R62, R63, R7, R76, R8",0603,20,4.7k,
"R16, R18, R29, R30, R44, R45, R74, R75",2512,8,0.05/1W,
"R19, R20, R21",0603,3,47k,
"R2, R31, R4",0603,3,100k,
R28,0603,1,470,
R3,0603,1,10k,
"R38, R39",0603,2,10kF,
"R52, R53",0603,2,XF,
R6,0603,1,150,
"RN1, RN2, RN3, RN4, RN5",R_Array_Convex_4x0402,5,4.7k,
SW1,PinHeader_1x03_P2.00mm_Vertical,1,SW_SPDT,
"SW2, SW4, SW5",SW_Push_SPST_NO_Alps_SKRK,3,SW_Push,
U1,TSSOP-8_4.4x3mm_P0.65mm,1,NJM2732,
U2,SOT-223,1,AZ1117-3.3,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering,1,CSTNE20M,
